date,accuracy,balanced_accuracy,confusion_matrix,f1-single,f1-individual,fp_rate-single,fp_rate-individual,jaccard_score-single,jaccard_score-individual,precision_score-single,precision_score-individual,recall_score-single,recall_score-individual,tp_rate-single,tp_rate-individual,mean,covariance,num-Nan-rows,percent-Nan-rows,second-moment,third-moment
2021-11-02 11:12:00,0.6,0.5,"[[2 0 0]
 [0 1 1]
 [0 1 0]]",0.5,[1.  0.5 0. ],0.0,[0.         0.33333333 0.25      ],0.4444444444444444,[1.         0.33333333 0.        ],0.5,[1.  0.5 0. ],0.5,[1.  0.5 0. ],0.5,[1.  0.5 0. ],4.133333333333334,"[[ 4.          2.          4.          6.          0.        ]
 [ 2.          1.          2.          3.          0.        ]
 [ 4.          2.          4.          6.          0.        ]
 [ 6.          3.          6.         17.33333333  0.        ]
 [ 0.          0.          0.          0.          0.        ]]",0,0.0,8.266666666666667,24.800000000000004
2021-11-02 12:04:10,0.6,0.5,"[[2 0 0]
 [0 1 1]
 [0 1 0]]",0.5,[1.  0.5 0. ],0.0,[0.         0.33333333 0.25      ],0.4444444444444444,[1.         0.33333333 0.        ],0.5,[1.  0.5 0. ],0.5,[1.  0.5 0. ],0.5,[1.  0.5 0. ],4.133333333333334,"[[ 4.          2.          4.          6.          0.        ]
 [ 2.          1.          2.          3.          0.        ]
 [ 4.          2.          4.          6.          0.        ]
 [ 6.          3.          6.         17.33333333  0.        ]
 [ 0.          0.          0.          0.          0.        ]]",0,0.0,8.266666666666667,24.800000000000004
2021-11-02 12:05:17,0.6,0.5,"[[2 0 0]
 [0 1 1]
 [0 1 0]]",0.5,[1.  0.5 0. ],0.0,[0.         0.33333333 0.25      ],0.4444444444444444,[1.         0.33333333 0.        ],0.5,[1.  0.5 0. ],0.5,[1.  0.5 0. ],0.5,[1.  0.5 0. ],4.133333333333334,"[[ 4.          2.          4.          6.          0.        ]
 [ 2.          1.          2.          3.          0.        ]
 [ 4.          2.          4.          6.          0.        ]
 [ 6.          3.          6.         17.33333333  0.        ]
 [ 0.          0.          0.          0.          0.        ]]",0,0.0,8.266666666666667,24.800000000000004
2021-11-02 12:05:35,0.6,0.5,"[[2 0 0]
 [0 1 1]
 [0 1 0]]",0.5,[1.  0.5 0. ],0.0,[0.         0.33333333 0.25      ],0.4444444444444444,[1.         0.33333333 0.        ],0.5,[1.  0.5 0. ],0.5,[1.  0.5 0. ],0.5,[1.  0.5 0. ],4.133333333333334,"[[ 4.          2.          4.          6.          0.        ]
 [ 2.          1.          2.          3.          0.        ]
 [ 4.          2.          4.          6.          0.        ]
 [ 6.          3.          6.         17.33333333  0.        ]
 [ 0.          0.          0.          0.          0.        ]]",0,0.0,8.266666666666667,24.800000000000004
2021-11-02 12:06:26,0.6,0.5,"array([[2, 0, 0],
       [0, 1, 1],
       [0, 1, 0]], dtype=int64)",0.5,[1.  0.5 0. ],0.0,[0.         0.33333333 0.25      ],0.4444444444444444,[1.         0.33333333 0.        ],0.5,[1.  0.5 0. ],0.5,[1.  0.5 0. ],0.5,[1.  0.5 0. ],4.133333333333334,"array([[ 4.        ,  2.        ,  4.        ,  6.        ,  0.        ],
       [ 2.        ,  1.        ,  2.        ,  3.        ,  0.        ],
       [ 4.        ,  2.        ,  4.        ,  6.        ,  0.        ],
       [ 6.        ,  3.        ,  6.        , 17.33333333,  0.        ],
       [ 0.        ,  0.        ,  0.        ,  0.        ,  0.        ]])",0,0.0,8.266666666666667,24.800000000000004
2021-11-02 13:30:08,0.6,0.5,"array([[2, 0, 0],
       [0, 1, 1],
       [0, 1, 0]], dtype=int64)",0.5,[1.  0.5 0. ],0.0,[0.         0.33333333 0.25      ],0.4444444444444444,[1.         0.33333333 0.        ],0.5,[1.  0.5 0. ],0.5,[1.  0.5 0. ],0.5,[1.  0.5 0. ],4.133333333333334,"array([[ 4.        ,  2.        ,  4.        ,  6.        ,  0.        ],
       [ 2.        ,  1.        ,  2.        ,  3.        ,  0.        ],
       [ 4.        ,  2.        ,  4.        ,  6.        ,  0.        ],
       [ 6.        ,  3.        ,  6.        , 17.33333333,  0.        ],
       [ 0.        ,  0.        ,  0.        ,  0.        ,  0.        ]])",0,0.0,8.266666666666667,24.800000000000004
2021-11-02 13:31:10,0.6,0.5,"array([[2, 0, 0],
       [0, 1, 1],
       [0, 1, 0]], dtype=int64)",0.5,[1.  0.5 0. ],0.0,[0.         0.33333333 0.25      ],0.4444444444444444,[1.         0.33333333 0.        ],0.5,[1.  0.5 0. ],0.5,[1.  0.5 0. ],0.5,[1.  0.5 0. ],4.133333333333334,"array([[ 4.        ,  2.        ,  4.        ,  6.        ,  0.        ],
       [ 2.        ,  1.        ,  2.        ,  3.        ,  0.        ],
       [ 4.        ,  2.        ,  4.        ,  6.        ,  0.        ],
       [ 6.        ,  3.        ,  6.        , 17.33333333,  0.        ],
       [ 0.        ,  0.        ,  0.        ,  0.        ,  0.        ]])",0,0.0,8.266666666666667,24.800000000000004
2021-11-02 13:48:18,0.6,0.5,"array([[2, 0, 0],
       [0, 1, 1],
       [0, 1, 0]], dtype=int64)",0.5,[1.  0.5 0. ],0.0,[0.         0.33333333 0.25      ],0.4444444444444444,[1.         0.33333333 0.        ],0.5,[1.  0.5 0. ],0.5,[1.  0.5 0. ],0.5,[1.  0.5 0. ],4.133333333333334,"array([[ 4.        ,  2.        ,  4.        ,  6.        ,  0.        ],
       [ 2.        ,  1.        ,  2.        ,  3.        ,  0.        ],
       [ 4.        ,  2.        ,  4.        ,  6.        ,  0.        ],
       [ 6.        ,  3.        ,  6.        , 17.33333333,  0.        ],
       [ 0.        ,  0.        ,  0.        ,  0.        ,  0.        ]])",0,0.0,8.266666666666667,24.800000000000004
2021-11-02 13:52:18,0.6,0.5,"array([[2, 0, 0],
       [0, 1, 1],
       [0, 1, 0]], dtype=int64)",0.5,[1.  0.5 0. ],0.0,[0.         0.33333333 0.25      ],0.4444444444444444,[1.         0.33333333 0.        ],0.5,[1.  0.5 0. ],0.5,[1.  0.5 0. ],0.5,[1.  0.5 0. ],4.133333333333334,"array([[ 4.        ,  2.        ,  4.        ,  6.        ,  0.        ],
       [ 2.        ,  1.        ,  2.        ,  3.        ,  0.        ],
       [ 4.        ,  2.        ,  4.        ,  6.        ,  0.        ],
       [ 6.        ,  3.        ,  6.        , 17.33333333,  0.        ],
       [ 0.        ,  0.        ,  0.        ,  0.        ,  0.        ]])",0,0.0,8.266666666666667,24.800000000000004
2021-11-02 15:36:49,0.6,0.5,"array([[2, 0, 0],
       [0, 1, 1],
       [0, 1, 0]], dtype=int64)",0.5,[1.  0.5 0. ],0.0,[0.         0.33333333 0.25      ],0.4444444444444444,[1.         0.33333333 0.        ],0.5,[1.  0.5 0. ],0.5,[1.  0.5 0. ],0.5,[1.  0.5 0. ],4.133333333333334,"array([[ 4.        ,  2.        ,  4.        ,  6.        ,  0.        ],
       [ 2.        ,  1.        ,  2.        ,  3.        ,  0.        ],
       [ 4.        ,  2.        ,  4.        ,  6.        ,  0.        ],
       [ 6.        ,  3.        ,  6.        , 17.33333333,  0.        ],
       [ 0.        ,  0.        ,  0.        ,  0.        ,  0.        ]])",0,0.0,8.266666666666667,24.800000000000004
2021-11-02 15:44:27,0.6,0.5,"array([[2, 0, 0],
       [0, 1, 1],
       [0, 1, 0]], dtype=int64)",0.5,[1.  0.5 0. ],0.0,[0.         0.33333333 0.25      ],0.4444444444444444,[1.         0.33333333 0.        ],0.5,[1.  0.5 0. ],0.5,[1.  0.5 0. ],0.5,[1.  0.5 0. ],4.133333333333334,"array([[ 4.        ,  2.        ,  4.        ,  6.        ,  0.        ],
       [ 2.        ,  1.        ,  2.        ,  3.        ,  0.        ],
       [ 4.        ,  2.        ,  4.        ,  6.        ,  0.        ],
       [ 6.        ,  3.        ,  6.        , 17.33333333,  0.        ],
       [ 0.        ,  0.        ,  0.        ,  0.        ,  0.        ]])",0,0.0,8.266666666666667,24.800000000000004
2021-11-02 15:46:27,0.6,0.5,"array([[2, 0, 0],
       [0, 1, 1],
       [0, 1, 0]], dtype=int64)",0.5,[1.  0.5 0. ],0.0,[0.         0.33333333 0.25      ],0.4444444444444444,[1.         0.33333333 0.        ],0.5,[1.  0.5 0. ],0.5,[1.  0.5 0. ],0.5,[1.  0.5 0. ],4.133333333333334,"array([[ 4.        ,  2.        ,  4.        ,  6.        ,  0.        ],
       [ 2.        ,  1.        ,  2.        ,  3.        ,  0.        ],
       [ 4.        ,  2.        ,  4.        ,  6.        ,  0.        ],
       [ 6.        ,  3.        ,  6.        , 17.33333333,  0.        ],
       [ 0.        ,  0.        ,  0.        ,  0.        ,  0.        ]])",0,0.0,8.266666666666667,24.800000000000004
2021-11-02 15:49:58,0.6,0.5,"array([[2, 0, 0],
       [0, 1, 1],
       [0, 1, 0]], dtype=int64)",0.5,[1.  0.5 0. ],0.0,[0.         0.33333333 0.25      ],0.4444444444444444,[1.         0.33333333 0.        ],0.5,[1.  0.5 0. ],0.5,[1.  0.5 0. ],0.5,[1.  0.5 0. ],4.133333333333334,"array([[ 4.        ,  2.        ,  4.        ,  6.        ,  0.        ],
       [ 2.        ,  1.        ,  2.        ,  3.        ,  0.        ],
       [ 4.        ,  2.        ,  4.        ,  6.        ,  0.        ],
       [ 6.        ,  3.        ,  6.        , 17.33333333,  0.        ],
       [ 0.        ,  0.        ,  0.        ,  0.        ,  0.        ]])",0,0.0,8.266666666666667,24.800000000000004
2021-11-02 15:51:14,0.6,0.5,"array([[2, 0, 0],
       [0, 1, 1],
       [0, 1, 0]], dtype=int64)",0.5,[1.  0.5 0. ],0.0,[0.         0.33333333 0.25      ],0.4444444444444444,[1.         0.33333333 0.        ],0.5,[1.  0.5 0. ],0.5,[1.  0.5 0. ],0.5,[1.  0.5 0. ],4.133333333333334,"array([[ 4.        ,  2.        ,  4.        ,  6.        ,  0.        ],
       [ 2.        ,  1.        ,  2.        ,  3.        ,  0.        ],
       [ 4.        ,  2.        ,  4.        ,  6.        ,  0.        ],
       [ 6.        ,  3.        ,  6.        , 17.33333333,  0.        ],
       [ 0.        ,  0.        ,  0.        ,  0.        ,  0.        ]])",0,0.0,8.266666666666667,24.800000000000004
